Feature name,ID,Obs.,Prioridade,Sprint,Tela
A group home deverá mostrar os check-ins de seus participantes em ordem cronológica ascendente e em seções indicando as datas (do dia mais recente para o mais antigo).,RF 23,,alta,01,detalhes grupo
"O sistema deverá permitir navegação entre início (home feed), grupos e perfil do usuário.",RF 07,,alta,01,
"O sistema deve permitir que um usuário entre em um grupo existente informando um código válido. ",RF 15,,alta,01,entrar grupo
O sistema deve possuir o scoring mode: maior streak de fotos (frequência diária de check-ins).,RF 12,,alta,01,criar grupo
"Ao criar um novo grupo, deve ser gerado um código.",RF 14,"unicidade, expiração, nº de caracteres, reutilização ?",alta,01,criar grupo
Será possível visualizar os ‘group stats’: total de check-ins e total de pontos.,,,,04,rankings
Implementar acessibilidade para cegos.,,,,04,
Um usuário pode deixar comentários em check-ins de outros usuários.,,,,04,viz check-in
"Depois de passada a data de fim estipulada para o grupo, ele deve ser inativado.",RN 01,,baixa,01,groups
A tela “Grupos” deve mostrar todos os grupos ativos do usuário e permitir o acesso a eles.,RF 08,,alta,01,groups
Os grupos inativos não possuem mais group page e não podem ser acessados.,RF 09,,baixa,01,groups
Grupos inativos não podem ser acessados.,RN 02,,alta,02,groups
"Além dos grupos ativos, “Grupos” deve mostrar os grupos inativos do usuário.",RF 34,,média,02,groups
" É possível visualizar os rankings finais dos grupos inativos.",RF 35,,média,02,groups
O perfil de um usuário deve conter um calendário que permite acessar check-ins dos últimos 2 meses.,,,,04,perfil
A home terá o formato de feed rolável de check-ins em ordem decrescente (mais recente primeiro).,RF 17,(provavelmente passar para S3),baixa,03,home feed
O feed de check-ins deverá incluir postagens de usuários em qualquer dos grupos em que a pessoa participa. (formato com: nome usuário - grupo - foto - descrição - data),RF 18,(provavelmente passar para S3),baixa,03,home feed
O sistema deve possuir o scoring mode: maior número de fotos (quantidade de check-ins).,RF 13,,alta,01,criar grupo
"Ao criar um grupo, o usuário criador pode escolher o método de avaliação (scoring mode) desejado.",RF 11,,alta,01,criar grupo
O sistema deve possuir o scoring mode: maior número de commits (quantidade de check-ins ligados a atividade(s) do GitHub).,RF 36,,alta,02,criar grupo
O sistema deve possuir o scoring mode: maior streak de commits (frequência diária de check-ins ligados a atividade(s) do GitHub).,RF 37,,alta,02,criar grupo
O sistema deve ser capaz de recuperar via API a atividade de commits usuário no GitHub em repositórios públicos.,RNF 04,,alta,02,make check-in
"No scoring mode de maior número de linhas de código, o sistema deve permitir duas opções: check-in manual ou check-in automático.",,,,03,criar grupo
"O sistema deverá ser capaz de postar automaticamente no grupo a atividade de um usuário no GitHub, com overview do código por IA e número de linhas commitadas, incrementando a pontuação de acordo.",,,,03,detalhes grupo
Por atividade de usuário entende-se: 1 commit em repositório público do GitHub.,RN 03,,alta,02,criar grupo
A group home deverá mostrar o código para entrada no grupo de forma que permita copiar e colar facilmente.,RF 41,,alta,02,detalhes grupo
"A group home deverá possuir um botão para visualizar todos os rankings do grupo,",RF 21,,alta,01,detalhes grupo
O sistema deverá possuir opção de “Esqueci minha senha”,,,,03,login
O código deve ser único por grupo e não expirar durante a duração do desafio.,RNF 01,,alta,01,entrar grupo
"Ao ver o check-in de outro usuário, deve-se ser capaz de visualizar os commits do GitHub linkados a ele (se existirem).",RF 44,,alta,02,viz check-in
O sistema deve permitir logout do usuário.,RF 02,,alta,01,perfil
O usuário criador do grupo terá permissões de administrador sobre o grupo.,,,,03,edit group
O administrador do grupo poderá excluir o grupo (tornar inativo).,,,,03,edit group
O admin. do grupo poderá remover participantes.,,,,03,edit group
O admin. do grupo poderá editar o nome do grupo.,,,,03,edit group
O admin. do grupo poderá editar a foto de capa do grupo.,,,,03,edit group
O check-in poderá ser curtido.,,,,04,viz check-in
O check-in poderá ser comentado,,,,04,viz check-in
A visualização de check-in deve apresentar botão de curtidas e número de curtidas.,,,,04,viz check-in
A visualização de check-in deve apresentar botão de comentário e comentários.,,,,04,viz check-in
